Survived,Pclass,Sex,Age,Fare,Embarked,Loc,GroupSize
0,3,m,22.0,7.25,S,X,2
1,1,f,38.0,71.2833,C,C,2
1,3,f,26.0,7.925,S,X,1
1,1,f,35.0,53.1,S,C,2
0,3,m,35.0,8.05,S,X,1
0,3,m,25.0,8.4583,Q,X,1
0,1,m,54.0,51.8625,S,E,1
0,3,m,2.0,21.075,S,X,5
1,3,f,27.0,11.1333,S,X,3
1,2,f,14.0,30.0708,C,X,2
1,3,f,4.0,16.7,S,G,3
1,1,f,58.0,26.55,S,C,1
0,3,m,20.0,8.05,S,X,1
0,3,m,39.0,31.275,S,X,7
0,3,f,14.0,7.8542,S,X,1
1,2,f,55.0,16.0,S,X,1
0,3,m,2.0,29.125,Q,X,6
1,2,m,30.0,13.0,S,X,1
0,3,f,31.0,18.0,S,X,2
1,3,f,21.5,7.225,C,X,1
0,2,m,35.0,26.0,S,X,1
1,2,m,34.0,13.0,S,D,1
1,3,f,15.0,8.0292,Q,X,1
1,1,m,28.0,35.5,S,A,1
0,3,f,8.0,21.075,S,X,5
1,3,f,38.0,31.3875,S,X,7
0,3,m,25.0,7.225,C,X,1
0,1,m,19.0,263.0,S,C,6
1,3,f,21.5,7.8792,Q,X,1
0,3,m,25.0,7.8958,S,X,1
0,1,m,40.0,27.7208,C,X,1
1,1,f,35.0,146.5208,C,B,2
1,3,f,21.5,7.75,Q,X,1
0,2,m,66.0,10.5,S,X,1
0,1,m,28.0,82.1708,C,X,2
0,1,m,42.0,52.0,S,X,2
1,3,m,25.0,7.2292,C,X,1
0,3,m,21.0,8.05,S,X,1
0,3,f,18.0,18.0,S,X,3
1,3,f,14.0,11.2417,C,X,2
0,3,f,40.0,9.475,S,X,2
0,2,f,27.0,21.0,S,X,2
0,3,m,25.0,7.8958,C,X,1
1,2,f,3.0,41.5792,C,X,4
1,3,f,19.0,7.8792,Q,X,1
0,3,m,25.0,8.05,S,X,1
0,3,m,25.0,15.5,Q,X,2
1,3,f,21.5,7.75,Q,X,1
0,3,m,25.0,21.6792,C,X,3
0,3,f,18.0,17.8,S,X,2
0,3,m,7.0,39.6875,S,X,6
0,3,m,21.0,7.8,S,X,1
1,1,f,49.0,76.7292,C,D,2
1,2,f,29.0,26.0,S,X,2
0,1,m,65.0,61.9792,C,B,2
1,1,m,40.0,35.5,S,C,1
1,2,f,21.0,10.5,S,X,1
0,3,m,28.5,7.2292,C,X,1
1,2,f,5.0,27.75,S,X,4
0,3,m,11.0,46.9,S,X,8
0,3,m,22.0,7.2292,C,X,1
1,1,f,38.0,80.0,S,B,1
0,1,m,45.0,83.475,S,C,2
0,3,m,4.0,27.9,S,X,6
0,1,m,40.0,27.7208,C,X,1
1,3,m,25.0,15.2458,C,X,3
1,2,f,29.0,10.5,S,F,1
0,3,m,19.0,8.1583,S,X,1
1,3,f,17.0,7.925,S,X,7
0,3,m,26.0,8.6625,S,X,3
0,2,m,32.0,10.5,S,X,1
0,3,f,16.0,46.9,S,X,8
0,2,m,21.0,73.5,S,X,1
0,3,m,26.0,14.4542,C,X,2
1,3,m,32.0,56.4958,S,X,1
0,3,m,25.0,7.65,S,F,1
0,3,m,25.0,7.8958,S,X,1
0,3,m,25.0,8.05,S,X,1
1,2,m,0.83,29.0,S,X,3
1,3,f,30.0,12.475,S,X,1
0,3,m,22.0,9.0,S,X,1
1,3,m,29.0,9.5,S,X,1
1,3,f,21.5,7.7875,Q,X,1
0,1,m,28.0,47.1,S,X,1
1,2,f,17.0,10.5,S,X,1
1,3,f,33.0,15.85,S,X,4
0,3,m,16.0,34.375,S,X,5
0,3,m,25.0,8.05,S,X,1
1,1,f,23.0,263.0,S,C,6
0,3,m,24.0,8.05,S,X,1
0,3,m,29.0,8.05,S,X,1
0,3,m,20.0,7.8542,S,X,1
0,1,m,46.0,61.175,S,E,2
0,3,m,26.0,20.575,S,X,4
0,3,m,59.0,7.25,S,X,1
0,3,m,25.0,8.05,S,X,1
0,1,m,71.0,34.6542,C,A,1
1,1,m,23.0,63.3583,C,D,2
1,2,f,34.0,23.0,S,X,2
0,2,m,34.0,26.0,S,X,2
0,3,f,28.0,7.8958,S,X,1
0,3,m,25.0,7.8958,S,X,1
0,1,m,21.0,77.2875,S,D,2
0,3,m,33.0,8.6542,S,X,1
0,3,m,37.0,7.925,S,X,3
0,3,m,28.0,7.8958,S,X,1
1,3,f,21.0,7.65,S,X,1
1,3,m,25.0,7.775,S,X,1
0,3,m,38.0,7.8958,S,X,1
1,3,f,21.5,24.15,Q,X,2
0,1,m,47.0,52.0,S,C,1
0,3,f,14.5,14.4542,C,X,2
0,3,m,22.0,8.05,S,X,1
0,3,f,20.0,9.825,S,X,2
0,3,f,17.0,14.4583,C,X,1
0,3,m,21.0,7.925,S,X,1
0,3,m,70.5,7.75,Q,X,1
0,2,m,29.0,21.0,S,X,2
0,1,m,24.0,247.5208,C,B,2
0,3,f,2.0,31.275,S,X,7
0,2,m,21.0,73.5,S,X,3
0,3,m,25.0,8.05,S,X,1
0,2,m,32.5,30.0708,C,X,2
1,2,f,32.5,13.0,S,E,1
0,1,m,54.0,77.2875,S,D,2
1,3,m,12.0,11.2417,C,X,2
0,3,m,25.0,7.75,Q,X,1
1,3,m,24.0,7.1417,S,X,1
1,3,f,21.5,22.3583,C,F,3
0,3,m,45.0,6.975,S,X,1
0,3,m,33.0,7.8958,C,X,1
0,3,m,20.0,7.05,S,X,1
0,3,f,47.0,14.5,S,X,2
1,2,f,29.0,26.0,S,X,2
0,2,m,25.0,13.0,S,X,1
0,2,m,23.0,15.0458,C,X,1
1,1,f,19.0,26.2833,S,D,3
0,1,m,37.0,53.1,S,C,2
0,3,m,16.0,9.2167,S,X,1
0,1,m,24.0,79.2,C,B,1
0,3,f,21.5,15.2458,C,X,3
1,3,f,22.0,7.75,S,X,1
1,3,f,24.0,15.85,S,X,2
0,3,m,19.0,6.75,Q,X,1
0,2,m,18.0,11.5,S,X,1
0,2,m,19.0,36.75,S,X,3
1,3,m,27.0,7.7958,S,X,1
0,3,f,9.0,34.375,S,X,5
0,2,m,36.5,26.0,S,F,3
0,2,m,42.0,13.0,S,X,1
0,2,m,51.0,12.525,S,X,1
1,1,f,22.0,66.6,S,C,2
0,3,m,55.5,8.05,S,X,1
0,3,m,40.5,14.5,S,X,3
0,3,m,25.0,7.3125,S,X,1
0,1,m,51.0,61.3792,C,X,2
1,3,f,16.0,7.7333,Q,X,1
0,3,m,30.0,8.05,S,X,1
0,3,m,25.0,8.6625,S,X,1
0,3,m,25.0,69.55,S,X,11
0,3,m,44.0,16.1,S,X,2
1,2,f,40.0,15.75,S,X,1
0,3,m,26.0,7.775,S,X,1
0,3,m,17.0,8.6625,S,X,1
0,3,m,1.0,39.6875,S,X,6
1,3,m,9.0,20.525,S,X,3
1,1,f,35.0,55.0,S,E,2
0,3,f,45.0,27.9,S,X,6
0,1,m,40.0,25.925,S,X,1
0,3,m,28.0,56.4958,S,X,1
0,1,m,61.0,33.5,S,B,1
0,3,m,4.0,29.125,Q,X,6
1,3,f,1.0,11.1333,S,X,3
0,3,m,21.0,7.925,S,X,1
0,1,m,56.0,30.6958,C,A,1
0,3,m,18.0,7.8542,S,X,3
0,3,m,25.0,25.4667,S,X,5
0,1,f,50.0,28.7125,C,C,1
0,2,m,30.0,13.0,S,X,1
0,3,m,36.0,0.0,S,X,1
0,3,f,21.5,69.55,S,X,11
0,2,m,30.0,15.05,C,X,1
0,3,m,9.0,31.3875,S,X,7
1,2,m,1.0,39.0,S,F,4
1,3,f,4.0,22.025,S,X,3
0,1,m,40.0,50.0,S,A,1
1,3,f,21.5,15.5,Q,X,2
1,1,m,45.0,26.55,S,X,1
0,3,m,40.0,15.5,Q,X,3
0,3,m,36.0,7.8958,S,X,1
1,2,f,32.0,13.0,S,X,1
0,2,m,19.0,13.0,S,X,1
1,3,f,19.0,7.8542,S,X,2
1,2,m,3.0,26.0,S,F,3
1,1,f,44.0,27.7208,C,B,1
1,1,f,58.0,146.5208,C,B,1
0,3,m,25.0,7.75,Q,X,1
0,3,m,42.0,8.4042,S,X,2
1,3,f,21.5,7.75,Q,X,1
0,2,f,24.0,13.0,S,X,1
0,3,m,28.0,9.5,S,X,1
0,3,m,25.0,69.55,S,X,11
0,3,m,34.0,6.4958,S,X,1
0,3,m,45.5,7.225,C,X,1
1,3,m,18.0,8.05,S,X,1
0,3,f,2.0,10.4625,S,G,2
0,3,m,32.0,15.85,S,X,2
1,3,m,26.0,18.7875,C,X,1
1,3,f,16.0,7.75,Q,X,1
1,1,m,40.0,31.0,C,A,1
0,3,m,24.0,7.05,S,X,1
1,2,f,35.0,21.0,S,X,1
0,3,m,22.0,7.25,S,X,1
0,2,m,30.0,13.0,S,X,1
0,3,m,25.0,7.75,Q,X,2
1,1,f,31.0,113.275,C,D,2
1,3,f,27.0,7.925,S,X,1
0,2,m,42.0,27.0,S,X,2
1,1,f,32.0,76.2917,C,D,1
0,2,m,30.0,10.5,S,X,1
1,3,m,16.0,8.05,S,X,1
0,2,m,27.0,13.0,S,X,1
0,3,m,51.0,8.05,S,X,1
0,3,m,25.0,7.8958,S,X,1
1,1,m,38.0,90.0,S,C,2
0,3,m,22.0,9.35,S,X,1
1,2,m,19.0,10.5,S,X,1
0,3,m,20.5,7.25,S,X,1
0,2,m,18.0,13.0,S,X,1
0,3,f,21.5,25.4667,S,X,5
1,1,f,35.0,83.475,S,C,2
0,3,m,29.0,7.775,S,X,1
0,2,m,59.0,13.5,S,X,1
1,3,f,5.0,31.3875,S,X,7
0,2,m,24.0,10.5,S,X,1
0,3,f,21.5,7.55,S,X,1
0,2,m,44.0,26.0,S,X,2
1,2,f,8.0,26.25,S,X,3
0,2,m,19.0,10.5,S,X,1
0,2,m,33.0,12.275,S,X,1
0,3,f,21.5,14.4542,C,X,2
1,3,f,21.5,15.5,Q,X,2
0,2,m,29.0,10.5,S,X,1
0,3,m,22.0,7.125,S,X,1
0,3,m,30.0,7.225,C,X,1
0,1,m,44.0,90.0,Q,C,3
0,3,f,25.0,7.775,S,X,1
1,2,f,24.0,14.5,S,X,3
1,1,m,37.0,52.5542,S,D,3
0,2,m,54.0,26.0,S,X,2
0,3,m,25.0,7.25,S,X,1
0,3,f,29.0,10.4625,S,G,3
0,1,m,62.0,26.55,S,C,1
0,3,m,30.0,16.1,S,X,2
0,3,f,41.0,20.2125,S,X,3
1,3,f,29.0,15.2458,C,X,3
1,1,f,35.0,79.2,C,X,1
1,1,f,30.0,86.5,S,B,1
1,1,f,35.0,512.3292,C,X,1
1,2,f,50.0,26.0,S,X,2
0,3,m,25.0,7.75,Q,X,1
1,3,m,3.0,31.3875,S,X,7
0,1,m,52.0,79.65,S,E,3
0,1,m,40.0,0.0,S,B,1
0,3,f,21.5,7.75,Q,X,1
0,2,m,36.0,10.5,S,X,1
0,3,m,16.0,39.6875,S,X,6
1,3,m,25.0,7.775,S,X,2
1,1,f,58.0,153.4625,S,C,2
1,1,f,35.0,135.6333,S,C,1
0,1,m,40.0,31.0,S,X,1
1,3,m,25.0,0.0,S,X,1
1,2,f,41.0,19.5,S,X,2
0,1,m,37.0,29.7,C,C,2
1,3,f,21.5,7.75,Q,X,1
1,1,f,63.0,77.9583,S,D,2
0,3,f,45.0,7.75,S,X,1
0,2,m,30.0,0.0,S,X,1
0,3,m,7.0,29.125,Q,X,6
1,3,f,35.0,20.25,S,X,3
0,3,m,65.0,7.75,Q,X,1
0,3,m,28.0,7.8542,S,X,1
0,3,m,16.0,9.5,S,X,1
1,3,m,19.0,8.05,S,X,1
0,1,m,40.0,26.0,S,A,1
0,3,m,33.0,8.6625,C,X,1
1,3,m,30.0,9.5,S,X,1
0,3,m,22.0,7.8958,S,X,1
1,2,m,42.0,13.0,S,X,1
1,3,f,22.0,7.75,Q,X,1
1,1,f,26.0,78.85,S,X,1
1,1,f,19.0,91.0792,C,B,2
0,2,m,36.0,12.875,C,D,1
0,3,f,24.0,8.85,S,X,1
0,3,m,24.0,7.8958,S,X,1
0,1,m,40.0,27.7208,C,X,1
0,3,m,23.5,7.2292,C,X,1
0,1,f,2.0,151.55,S,C,4
1,1,m,40.0,30.5,S,C,1
1,1,f,50.0,247.5208,C,B,2
1,3,f,21.5,7.75,Q,X,1
1,3,m,25.0,23.25,Q,X,3
0,3,m,19.0,0.0,S,X,1
1,2,f,28.0,12.35,Q,E,1
0,3,m,25.0,8.05,S,X,1
1,1,m,0.92,151.55,S,C,4
1,1,f,35.0,110.8833,C,X,1
1,1,f,17.0,108.9,C,C,2
0,2,m,30.0,24.0,C,X,2
1,1,f,30.0,56.9292,C,E,1
1,1,f,24.0,83.1583,C,C,1
1,1,f,18.0,262.375,C,B,5
0,2,f,26.0,26.0,S,X,3
0,3,m,28.0,7.8958,S,X,1
0,2,m,43.0,26.25,S,X,3
1,3,f,26.0,7.8542,S,X,1
1,2,f,24.0,26.0,S,X,2
0,2,m,54.0,14.0,S,X,1
1,1,f,31.0,164.8667,S,C,3
1,1,f,40.0,134.5,C,E,3
0,3,m,22.0,7.25,S,X,1
0,3,m,27.0,7.8958,S,X,1
1,2,f,30.0,12.35,Q,X,1
1,2,f,22.0,29.0,S,X,3
0,3,m,25.0,69.55,S,X,11
1,1,f,36.0,135.6333,C,C,1
0,3,m,61.0,6.2375,S,X,1
1,2,f,36.0,13.0,S,D,1
1,3,f,31.0,20.525,S,X,3
1,1,f,16.0,57.9792,C,B,2
1,3,f,21.5,23.25,Q,X,3
0,1,m,45.5,28.5,S,C,1
0,1,m,38.0,153.4625,S,C,2
0,3,m,16.0,18.0,S,X,3
1,1,f,35.0,133.65,S,X,2
0,3,m,25.0,7.8958,S,X,1
0,1,m,29.0,66.6,S,C,2
1,1,f,41.0,134.5,C,E,1
1,3,m,45.0,8.05,S,X,1
0,1,m,45.0,35.5,S,T,1
1,2,m,2.0,26.0,S,F,3
1,1,f,24.0,263.0,S,C,6
0,2,m,28.0,13.0,S,X,1
0,2,m,25.0,13.0,S,X,1
0,2,m,36.0,13.0,S,X,1
1,2,f,24.0,13.0,S,F,1
1,2,f,40.0,13.0,S,X,1
1,3,f,21.5,16.1,S,X,2
1,3,m,3.0,15.9,S,X,3
0,3,m,42.0,8.6625,S,X,1
0,3,m,23.0,9.225,S,X,1
0,1,m,40.0,35.0,S,C,1
0,3,m,15.0,7.2292,C,X,3
0,3,m,25.0,17.8,S,X,2
0,3,m,25.0,7.225,C,X,1
0,3,m,28.0,9.5,S,X,1
1,1,f,22.0,55.0,S,E,2
0,2,f,38.0,13.0,S,X,1
1,3,f,21.5,7.8792,Q,X,1
1,3,f,21.5,7.8792,Q,X,1
0,3,m,40.0,27.9,S,X,6
0,2,m,29.0,27.7208,C,X,2
0,3,f,45.0,14.4542,C,X,2
0,3,m,35.0,7.05,S,X,1
0,3,m,25.0,15.5,Q,X,2
0,3,m,30.0,7.25,S,X,1
1,1,f,60.0,75.25,C,D,2
1,3,f,21.5,7.2292,C,X,1
1,3,f,21.5,7.75,Q,X,1
1,1,f,24.0,69.3,C,B,1
1,1,m,25.0,55.4417,C,E,2
0,3,m,18.0,6.4958,S,X,2
0,3,m,19.0,8.05,S,X,1
0,1,m,22.0,135.6333,C,X,1
0,3,f,3.0,21.075,S,X,5
1,1,f,35.0,82.1708,C,X,2
1,3,f,22.0,7.25,S,X,1
0,1,m,27.0,211.5,C,C,3
0,3,m,20.0,4.0125,C,X,1
0,3,m,19.0,7.775,S,X,1
1,1,f,42.0,227.525,C,X,1
1,3,f,1.0,15.7417,C,X,3
0,3,m,32.0,7.925,S,X,1
1,1,f,35.0,52.0,S,X,2
0,3,m,25.0,7.8958,S,X,1
0,2,m,18.0,73.5,S,X,1
0,3,m,1.0,46.9,S,X,8
1,2,f,36.0,13.0,S,X,1
0,3,m,25.0,7.7292,Q,X,1
1,2,f,17.0,12.0,C,X,1
1,1,m,36.0,120.0,S,B,4
1,3,m,21.0,7.7958,S,X,1
0,3,m,28.0,7.925,S,X,3
1,1,f,23.0,113.275,C,D,2
1,3,f,24.0,16.7,S,G,3
0,3,m,22.0,7.7958,S,X,1
0,3,f,31.0,7.8542,S,X,1
0,2,m,46.0,26.0,S,X,1
0,2,m,23.0,10.5,S,X,1
1,2,f,28.0,12.65,S,X,1
1,3,m,39.0,7.925,S,X,1
0,3,m,26.0,8.05,S,X,1
0,3,f,21.0,9.825,S,X,2
0,3,m,28.0,15.85,S,X,2
0,3,f,20.0,8.6625,S,X,1
0,2,m,34.0,21.0,S,X,2
0,3,m,51.0,7.75,S,X,1
1,2,m,3.0,18.75,S,X,3
0,3,m,21.0,7.775,S,X,1
0,3,f,21.5,25.4667,S,X,5
0,3,m,25.0,7.8958,S,X,1
0,3,m,25.0,6.8583,Q,X,1
1,1,f,33.0,90.0,Q,C,2
0,2,m,30.0,0.0,S,X,1
1,3,m,44.0,7.925,S,X,1
0,3,f,21.5,8.05,S,X,1
1,2,f,34.0,32.5,S,X,3
1,2,f,18.0,13.0,S,X,3
0,2,m,30.0,13.0,S,X,1
0,3,f,10.0,24.15,S,X,3
0,3,m,25.0,7.8958,C,X,1
0,3,m,21.0,7.7333,Q,X,1
0,3,m,29.0,7.875,S,X,1
0,3,f,28.0,14.4,S,X,3
0,3,m,18.0,20.2125,S,X,3
0,3,m,25.0,7.25,S,X,1
1,2,f,28.0,26.0,S,X,2
1,2,f,19.0,26.0,S,X,1
0,3,m,25.0,7.75,Q,X,1
1,3,m,32.0,8.05,S,E,1
1,1,m,28.0,26.55,S,C,1
1,3,f,21.5,16.1,S,X,2
1,2,f,42.0,26.0,S,X,2
0,3,m,17.0,7.125,S,X,1
0,1,m,50.0,55.9,S,E,2
1,1,f,14.0,120.0,S,B,4
0,3,f,21.0,34.375,S,X,5
1,2,f,24.0,18.75,S,X,6
0,1,m,64.0,263.0,S,C,6
0,2,m,31.0,10.5,S,X,1
1,2,f,45.0,26.25,S,X,3
0,3,m,20.0,9.5,S,X,1
0,3,m,25.0,7.775,S,X,2
1,2,f,28.0,13.0,S,X,1
1,3,m,25.0,8.1125,S,X,1
